team_code,artifact,local_path,stage_relpath,bytes
L25,source_code,teams/L25_TOKAI Ghost/code.zip,L25/source_code.zip,25890260
L26,team_photo,teams/L26_TPA Thailand RLine/team_photo.jpg,L26/team_photo.jpg,248226
L26,robot_photo,teams/L26_TPA Thailand RLine/robot_photo.jpg,L26/robot_photo.jpg,156077
L26,poster,teams/L26_TPA Thailand RLine/poster.pdf,L26/poster.pdf,11861953
L26,bom,teams/L26_TPA Thailand RLine/bom.pdf,L26/bom.pdf,39894
L27,team_photo,teams/L27_Titãs da Robótica - Ligeirinho/team_photo.jpeg,L27/team_photo.jpeg,143758
L27,robot_photo,teams/L27_Titãs da Robótica - Ligeirinho/robot_photo.jpg,L27/robot_photo.jpg,80375
L27,poster,teams/L27_Titãs da Robótica - Ligeirinho/poster.pdf,L27/poster.pdf,6303309
L27,video,teams/L27_Titãs da Robótica - Ligeirinho/video.mp4,L27/video.mp4,14336905
L27,video_thumbnail,teams/L27_Titãs da Robótica - Ligeirinho/video-thumbnail.png,L27/video_thumbnail.png,127328
L27,bom,teams/L27_Titãs da Robótica - Ligeirinho/bom.pdf,L27/bom.pdf,68711
L27,source_code,teams/L27_Titãs da Robótica - Ligeirinho/code.zip,L27/source_code.zip,58946
M41,team_photo,teams/M41_AURAT/team_photo.png,M41/team_photo.png,3017241
M41,robot_photo,teams/M41_AURAT/robot_photo.jpeg,M41/robot_photo.jpeg,1162005
M41,poster,teams/M41_AURAT/poster.pdf,M41/poster.pdf,7402480
M41,video,teams/M41_AURAT/video.mp4,M41/video.mp4,444326187
M41,video_thumbnail,teams/M41_AURAT/video-thumbnail.png,M41/video_thumbnail.png,62611
M41,bom,teams/M41_AURAT/bom.pdf,M41/bom.pdf,1080063
M41,source_code,teams/M41_AURAT/code.zip,M41/source_code.zip,20969
M41,tdp_pdf_optional,teams/M41_AURAT/tdp.pdf,M41/tdp_pdf_optional.pdf,1042777
M42,team_photo,teams/M42_B.Robots Seniors/team_photo.jpg,M42/team_photo.jpg,1249863
M42,robot_photo,teams/M42_B.Robots Seniors/robot_photo.JPG,M42/robot_photo.JPG,3499718
M42,poster,teams/M42_B.Robots Seniors/poster.pdf,M42/poster.pdf,7440786
M42,video,teams/M42_B.Robots Seniors/video.mp4,M42/video.mp4,427282081
M42,video_thumbnail,teams/M42_B.Robots Seniors/video-thumbnail.png,M42/video_thumbnail.png,177418
M42,bom,teams/M42_B.Robots Seniors/bom.pdf,M42/bom.pdf,58101
M42,source_code,teams/M42_B.Robots Seniors/code.zip,M42/source_code.zip,278276
M42,tdp_pdf_optional,teams/M42_B.Robots Seniors/tdp.pdf,M42/tdp_pdf_optional.pdf,1649947
M43,team_photo,teams/M43_Bodensee Dogs/team_photo.JPEG,M43/team_photo.JPEG,2646146
M43,robot_photo,teams/M43_Bodensee Dogs/robot_photo.jpg,M43/robot_photo.jpg,2609746
M43,poster,teams/M43_Bodensee Dogs/poster.pdf,M43/poster.pdf,14415422
M44,team_photo,teams/M44_Byte Volta/team_photo.jpg,M44/team_photo.jpg,165864
M44,robot_photo,teams/M44_Byte Volta/robot_photo.png,M44/robot_photo.png,761994
M44,poster,teams/M44_Byte Volta/poster.pdf,M44/poster.pdf,8300033
M44,video,teams/M44_Byte Volta/video.mp4,M44/video.mp4,302446120
M44,video_thumbnail,teams/M44_Byte Volta/video-thumbnail.png,M44/video_thumbnail.png,1098830
M44,bom,teams/M44_Byte Volta/bom.pdf,M44/bom.pdf,140921
M44,tdp_pdf_optional,teams/M44_Byte Volta/tdp.pdf,M44/tdp_pdf_optional.pdf,5242880
M45,team_photo,teams/M45_CEBELÜ/team_photo.jpeg,M45/team_photo.jpeg,196163
M45,robot_photo,teams/M45_CEBELÜ/robot_photo.jpeg,M45/robot_photo.jpeg,159844
M45,poster,teams/M45_CEBELÜ/poster.pdf,M45/poster.pdf,4696275
M45,bom,teams/M45_CEBELÜ/bom.pdf,M45/bom.pdf,35432
M45,source_code,teams/M45_CEBELÜ/code.zip,M45/source_code.zip,9246639
M46,team_photo,teams/M46_Delta/team_photo.jpg,M46/team_photo.jpg,169340
M46,robot_photo,teams/M46_Delta/robot_photo.jpg,M46/robot_photo.jpg,2118271
M46,poster,teams/M46_Delta/poster.pdf,M46/poster.pdf,2395055
M46,video,teams/M46_Delta/video.mp4,M46/video.mp4,475550487
M46,video_thumbnail,teams/M46_Delta/video-thumbnail.png,M46/video_thumbnail.png,318865
M46,bom,teams/M46_Delta/bom.pdf,M46/bom.pdf,207160
M46,source_code,teams/M46_Delta/code.zip,M46/source_code.zip,34791
M48,team_photo,teams/M48_Flying Pig/team_photo.jpg,M48/team_photo.jpg,468868
M48,robot_photo,teams/M48_Flying Pig/robot_photo.jpg,M48/robot_photo.jpg,812690
M48,tdp_pdf_optional,teams/M48_Flying Pig/tdp.pdf,M48/tdp_pdf_optional.pdf,2374910
M48,engineering_journal_optional,teams/M48_Flying Pig/journal.pdf,M48/engineering_journal_optional.pdf,141835
M49,team_photo,teams/M49_Gebruder Weiss CRO team/team_photo.jpg,M49/team_photo.jpg,2766318
M49,robot_photo,teams/M49_Gebruder Weiss CRO team/robot_photo.jpg,M49/robot_photo.jpg,695070
M49,poster,teams/M49_Gebruder Weiss CRO team/poster.pdf,M49/poster.pdf,2828928
M49,tdp_pdf_optional,teams/M49_Gebruder Weiss CRO team/tdp.pdf,M49/tdp_pdf_optional.pdf,862086
M50,team_photo,teams/M50_LF Rescue Unit/team_photo.jpeg,M50/team_photo.jpeg,194853
M50,robot_photo,teams/M50_LF Rescue Unit/robot_photo.jpg,M50/robot_photo.jpg,94861
M50,poster,teams/M50_LF Rescue Unit/poster.pdf,M50/poster.pdf,4599193
M50,video,teams/M50_LF Rescue Unit/video.mp4,M50/video.mp4,63165321
M50,video_thumbnail,teams/M50_LF Rescue Unit/video-thumbnail.png,M50/video_thumbnail.png,288972
M50,bom,teams/M50_LF Rescue Unit/bom.pdf,M50/bom.pdf,101725
M50,source_code,teams/M50_LF Rescue Unit/code.zip,M50/source_code.zip,2939
M51,team_photo,teams/M51_LIGHTNING/team_photo.jpg,M51/team_photo.jpg,1682962
M51,robot_photo,teams/M51_LIGHTNING/robot_photo.jpg,M51/robot_photo.jpg,1710835
M51,poster,teams/M51_LIGHTNING/poster.pdf,M51/poster.pdf,11230943
M51,video,teams/M51_LIGHTNING/video.mp4,M51/video.mp4,476113656
M51,video_thumbnail,teams/M51_LIGHTNING/video-thumbnail.png,M51/video_thumbnail.png,284069
M51,bom,teams/M51_LIGHTNING/bom.pdf,M51/bom.pdf,122943
M52,team_photo,teams/M52_Optimaze/team_photo.jpeg,M52/team_photo.jpeg,419672
M52,robot_photo,teams/M52_Optimaze/robot_photo.jpeg,M52/robot_photo.jpeg,311117
M52,poster,teams/M52_Optimaze/poster.pdf,M52/poster.pdf,11947004
M52,video,teams/M52_Optimaze/video.mp4,M52/video.mp4,406017475
M52,video_thumbnail,teams/M52_Optimaze/video-thumbnail.png,M52/video_thumbnail.png,286933
M52,bom,teams/M52_Optimaze/bom.pdf,M52/bom.pdf,142772
M52,tdp_pdf_optional,teams/M52_Optimaze/tdp.pdf,M52/tdp_pdf_optional.pdf,2363660
M53,team_photo,teams/M53_PCMS_ET/team_photo.jpeg,M53/team_photo.jpeg,302901
M53,robot_photo,teams/M53_PCMS_ET/robot_photo.jpeg,M53/robot_photo.jpeg,149140
M53,poster,teams/M53_PCMS_ET/poster.pdf,M53/poster.pdf,2210813
M53,video,teams/M53_PCMS_ET/video.MP4,M53/video.MP4,270972924
M53,video_thumbnail,teams/M53_PCMS_ET/video-thumbnail.png,M53/video_thumbnail.png,301070
M53,bom,teams/M53_PCMS_ET/bom.pdf,M53/bom.pdf,245489
M53,source_code,teams/M53_PCMS_ET/code.zip,M53/source_code.zip,14822
M53,engineering_journal_optional,teams/M53_PCMS_ET/journal.pdf,M53/engineering_journal_optional.pdf,3499226
M55,team_photo,teams/M55_PRIMEX FCoEE/team_photo.jpg,M55/team_photo.jpg,835258
M55,robot_photo,teams/M55_PRIMEX FCoEE/robot_photo.png,M55/robot_photo.png,2877470
M55,poster,teams/M55_PRIMEX FCoEE/poster.pdf,M55/poster.pdf,1442982
M55,video,teams/M55_PRIMEX FCoEE/video.mp4,M55/video.mp4,500376432
M55,video_thumbnail,teams/M55_PRIMEX FCoEE/video-thumbnail.png,M55/video_thumbnail.png,215871
M55,bom,teams/M55_PRIMEX FCoEE/bom.pdf,M55/bom.pdf,225429
